source_cell_type,target_cell_type,total_weight,mean_weight,n_edges
Cancer.LumB.SC,Myoepithelial,675.0,1.0,675
Cancer.LumB.SC,NK.cells,645.0,1.0,645
Cancer.LumB.SC,NKT.cells,525.0,1.0,525
Cancer.LumB.SC,PVL.Differentiated,835.0,1.0,835
Cancer.LumB.SC,PVL.Immature,744.0,1.0,744
Cancer.LumB.SC,Plasmablasts,870.0,1.0,870
Cancer.LumB.SC,T.cells.CD4,921.0,1.0,921
Cancer.LumB.SC,T.cells.CD8,676.0,1.0,676
Cycling.Myeloid,B.cells.Memory,836.0,1.0,836
Cycling.Myeloid,B.cells.Naive,632.0,1.0,632
Cycling.Myeloid,CAFs.MSC.iCAF.like,1140.0,1.0,1140
Cycling.Myeloid,CAFs.myCAF.like,1260.0,1.0,1260
Cycling.Myeloid,Cancer.Basal.SC,1423.0,1.0,1423
Cycling.Myeloid,Cancer.Cycling,1333.0,1.0,1333
Cycling.Myeloid,Cancer.Her2.SC,1250.0,1.0,1250
Cycling.Myeloid,Cancer.LumA.SC,587.0,1.0,587
Cycling.Myeloid,Cancer.LumB.SC,575.0,1.0,575
Cycling.Myeloid,Cycling.Myeloid,835.0,1.0,835
Cycling.Myeloid,Cycling.PVL,589.0,1.0,589
Cycling.Myeloid,Cycling.T.cells,788.0,1.0,788
Cycling.Myeloid,DCs,860.0,1.0,860
Cycling.Myeloid,Endothelial.ACKR1,972.0,1.0,972
Cycling.Myeloid,Endothelial.CXCL12,763.0,1.0,763
Cycling.Myeloid,Endothelial.Lymphatic.LYVE1,710.0,1.0,710
Cycling.Myeloid,Endothelial.RGS5,818.0,1.0,818
Cycling.Myeloid,Luminal.Progenitors,1001.0,1.0,1001
Cycling.Myeloid,Macrophage,1084.0,1.0,1084
Cycling.Myeloid,Mature.Luminal,990.0,1.0,990
Cycling.Myeloid,Monocyte,856.0,1.0,856
Cycling.Myeloid,Myoepithelial,746.0,1.0,746
Cycling.Myeloid,NK.cells,768.0,1.0,768
Cycling.Myeloid,NKT.cells,615.0,1.0,615
Cycling.Myeloid,PVL.Differentiated,986.0,1.0,986
Cycling.Myeloid,PVL.Immature,846.0,1.0,846
Cycling.Myeloid,Plasmablasts,973.0,1.0,973
Cycling.Myeloid,T.cells.CD4,1058.0,1.0,1058
Cycling.Myeloid,T.cells.CD8,788.0,1.0,788
Cycling.PVL,B.cells.Memory,691.0,1.0,691
Cycling.PVL,B.cells.Naive,530.0,1.0,530
Cycling.PVL,CAFs.MSC.iCAF.like,917.0,1.0,917
Cycling.PVL,CAFs.myCAF.like,1003.0,1.0,1003
Cycling.PVL,Cancer.Basal.SC,1091.0,1.0,1091
Cycling.PVL,Cancer.Cycling,1034.0,1.0,1034
Cycling.PVL,Cancer.Her2.SC,963.0,1.0,963
Cycling.PVL,Cancer.LumA.SC,482.0,1.0,482
Cycling.PVL,Cancer.LumB.SC,477.0,1.0,477
Cycling.PVL,Cycling.Myeloid,675.0,1.0,675
Cycling.PVL,Cycling.PVL,524.0,1.0,524
Cycling.PVL,Cycling.T.cells,669.0,1.0,669
Cycling.PVL,DCs,713.0,1.0,713
Cycling.PVL,Endothelial.ACKR1,767.0,1.0,767
Cycling.PVL,Endothelial.CXCL12,646.0,1.0,646
Cycling.PVL,Endothelial.Lymphatic.LYVE1,600.0,1.0,600
Cycling.PVL,Endothelial.RGS5,688.0,1.0,688
Cycling.PVL,Luminal.Progenitors,829.0,1.0,829
Cycling.PVL,Macrophage,863.0,1.0,863
Cycling.PVL,Mature.Luminal,812.0,1.0,812
Cycling.PVL,Monocyte,721.0,1.0,721
Cycling.PVL,Myoepithelial,653.0,1.0,653
Cycling.PVL,NK.cells,619.0,1.0,619
Cycling.PVL,NKT.cells,528.0,1.0,528
Cycling.PVL,PVL.Differentiated,798.0,1.0,798
Cycling.PVL,PVL.Immature,726.0,1.0,726
Cycling.PVL,Plasmablasts,792.0,1.0,792
Cycling.PVL,T.cells.CD4,849.0,1.0,849
Cycling.PVL,T.cells.CD8,684.0,1.0,684
Cycling.T.cells,B.cells.Memory,867.0,1.0,867
Cycling.T.cells,B.cells.Naive,676.0,1.0,676
Cycling.T.cells,CAFs.MSC.iCAF.like,1250.0,1.0,1250
Cycling.T.cells,CAFs.myCAF.like,1408.0,1.0,1408
Cycling.T.cells,Cancer.Basal.SC,1562.0,1.0,1562
Cycling.T.cells,Cancer.Cycling,1468.0,1.0,1468
Cycling.T.cells,Cancer.Her2.SC,1350.0,1.0,1350
Cycling.T.cells,Cancer.LumA.SC,651.0,1.0,651
Cycling.T.cells,Cancer.LumB.SC,633.0,1.0,633
Cycling.T.cells,Cycling.Myeloid,878.0,1.0,878
Cycling.T.cells,Cycling.PVL,642.0,1.0,642
Cycling.T.cells,Cycling.T.cells,874.0,1.0,874
Cycling.T.cells,DCs,958.0,1.0,958
Cycling.T.cells,Endothelial.ACKR1,1009.0,1.0,1009
Cycling.T.cells,Endothelial.CXCL12,827.0,1.0,827
Cycling.T.cells,Endothelial.Lymphatic.LYVE1,750.0,1.0,750
Cycling.T.cells,Endothelial.RGS5,895.0,1.0,895
Cycling.T.cells,Luminal.Progenitors,1116.0,1.0,1116
Cycling.T.cells,Macrophage,1150.0,1.0,1150
Cycling.T.cells,Mature.Luminal,1095.0,1.0,1095
Cycling.T.cells,Monocyte,945.0,1.0,945
Cycling.T.cells,Myoepithelial,849.0,1.0,849
Cycling.T.cells,NK.cells,801.0,1.0,801
Cycling.T.cells,NKT.cells,658.0,1.0,658
Cycling.T.cells,PVL.Differentiated,1028.0,1.0,1028
Cycling.T.cells,PVL.Immature,930.0,1.0,930
Cycling.T.cells,Plasmablasts,1097.0,1.0,1097
Cycling.T.cells,T.cells.CD4,1141.0,1.0,1141
Cycling.T.cells,T.cells.CD8,856.0,1.0,856
DCs,B.cells.Memory,859.0,1.0,859
DCs,B.cells.Naive,654.0,1.0,654
DCs,CAFs.MSC.iCAF.like,1149.0,1.0,1149
DCs,CAFs.myCAF.like,1254.0,1.0,1254
DCs,Cancer.Basal.SC,1415.0,1.0,1415
DCs,Cancer.Cycling,1332.0,1.0,1332
DCs,Cancer.Her2.SC,1253.0,1.0,1253
DCs,Cancer.LumA.SC,600.0,1.0,600
DCs,Cancer.LumB.SC,592.0,1.0,592
DCs,Cycling.Myeloid,856.0,1.0,856
DCs,Cycling.PVL,610.0,1.0,610
DCs,Cycling.T.cells,801.0,1.0,801
DCs,DCs,867.0,1.0,867
DCs,Endothelial.ACKR1,993.0,1.0,993
DCs,Endothelial.CXCL12,792.0,1.0,792
DCs,Endothelial.Lymphatic.LYVE1,727.0,1.0,727
DCs,Endothelial.RGS5,845.0,1.0,845
DCs,Luminal.Progenitors,1013.0,1.0,1013
DCs,Macrophage,1106.0,1.0,1106
DCs,Mature.Luminal,998.0,1.0,998
DCs,Monocyte,870.0,1.0,870
DCs,Myoepithelial,774.0,1.0,774
DCs,NK.cells,785.0,1.0,785
DCs,NKT.cells,617.0,1.0,617
DCs,PVL.Differentiated,1011.0,1.0,1011
DCs,PVL.Immature,867.0,1.0,867
DCs,Plasmablasts,976.0,1.0,976
DCs,T.cells.CD4,1070.0,1.0,1070
DCs,T.cells.CD8,810.0,1.0,810
Endothelial.ACKR1,B.cells.Memory,1058.0,1.0,1058
Endothelial.ACKR1,B.cells.Naive,761.0,1.0,761
Endothelial.ACKR1,CAFs.MSC.iCAF.like,1440.0,1.0,1440
Endothelial.ACKR1,CAFs.myCAF.like,1568.0,1.0,1568
Endothelial.ACKR1,Cancer.Basal.SC,1796.0,1.0,1796
Endothelial.ACKR1,Cancer.Cycling,1678.0,1.0,1678
Endothelial.ACKR1,Cancer.Her2.SC,1596.0,1.0,1596
Endothelial.ACKR1,Cancer.LumA.SC,727.0,1.0,727
Endothelial.ACKR1,Cancer.LumB.SC,709.0,1.0,709
Endothelial.ACKR1,Cycling.Myeloid,1030.0,1.0,1030
Endothelial.ACKR1,Cycling.PVL,711.0,1.0,711
Endothelial.ACKR1,Cycling.T.cells,953.0,1.0,953
Endothelial.ACKR1,DCs,1012.0,1.0,1012
Endothelial.ACKR1,Endothelial.ACKR1,1246.0,1.0,1246
Endothelial.ACKR1,Endothelial.CXCL12,945.0,1.0,945
Endothelial.ACKR1,Endothelial.Lymphatic.LYVE1,850.0,1.0,850
Endothelial.ACKR1,Endothelial.RGS5,1002.0,1.0,1002
Endothelial.ACKR1,Luminal.Progenitors,1244.0,1.0,1244
Endothelial.ACKR1,Macrophage,1378.0,1.0,1378
Endothelial.ACKR1,Mature.Luminal,1241.0,1.0,1241
Endothelial.ACKR1,Monocyte,1038.0,1.0,1038
Endothelial.ACKR1,Myoepithelial,905.0,1.0,905
Endothelial.ACKR1,NK.cells,971.0,1.0,971
Endothelial.ACKR1,NKT.cells,726.0,1.0,726
Endothelial.ACKR1,PVL.Differentiated,1287.0,1.0,1287
Endothelial.ACKR1,PVL.Immature,1043.0,1.0,1043
Endothelial.ACKR1,Plasmablasts,1165.0,1.0,1165
Endothelial.ACKR1,T.cells.CD4,1327.0,1.0,1327
Endothelial.ACKR1,T.cells.CD8,970.0,1.0,970
Endothelial.CXCL12,B.cells.Memory,912.0,1.0,912
Endothelial.CXCL12,B.cells.Naive,678.0,1.0,678
Endothelial.CXCL12,CAFs.MSC.iCAF.like,1196.0,1.0,1196
Endothelial.CXCL12,CAFs.myCAF.like,1293.0,1.0,1293
Endothelial.CXCL12,Cancer.Basal.SC,1484.0,1.0,1484
Endothelial.CXCL12,Cancer.Cycling,1389.0,1.0,1389
Endothelial.CXCL12,Cancer.Her2.SC,1314.0,1.0,1314
Endothelial.CXCL12,Cancer.LumA.SC,636.0,1.0,636
Endothelial.CXCL12,Cancer.LumB.SC,614.0,1.0,614
Endothelial.CXCL12,Cycling.Myeloid,894.0,1.0,894
Endothelial.CXCL12,Cycling.PVL,645.0,1.0,645
Endothelial.CXCL12,Cycling.T.cells,825.0,1.0,825
Endothelial.CXCL12,DCs,872.0,1.0,872
Endothelial.CXCL12,Endothelial.ACKR1,1054.0,1.0,1054
Endothelial.CXCL12,Endothelial.CXCL12,832.0,1.0,832
Endothelial.CXCL12,Endothelial.Lymphatic.LYVE1,762.0,1.0,762
Endothelial.CXCL12,Endothelial.RGS5,879.0,1.0,879
Endothelial.CXCL12,Luminal.Progenitors,1062.0,1.0,1062
Endothelial.CXCL12,Macrophage,1160.0,1.0,1160
Endothelial.CXCL12,Mature.Luminal,1043.0,1.0,1043
Endothelial.CXCL12,Monocyte,886.0,1.0,886
Endothelial.CXCL12,Myoepithelial,791.0,1.0,791
Endothelial.CXCL12,NK.cells,836.0,1.0,836
Endothelial.CXCL12,NKT.cells,646.0,1.0,646
Endothelial.CXCL12,PVL.Differentiated,1085.0,1.0,1085
Endothelial.CXCL12,PVL.Immature,895.0,1.0,895
Endothelial.CXCL12,Plasmablasts,994.0,1.0,994
Endothelial.CXCL12,T.cells.CD4,1129.0,1.0,1129
Endothelial.CXCL12,T.cells.CD8,848.0,1.0,848
Endothelial.Lymphatic.LYVE1,B.cells.Memory,655.0,1.0,655
